,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
count,7043,7043,7043.0,7043,7043,7043.0,7043,7043,7043,7043,7043,7043,7043,7043,7043,7043,7043,7043,7043.0,7043,7043
unique,7043,2,,2,2,,2,3,3,3,3,3,3,3,3,3,2,4,,6531,2
top,7590-VHVEG,Male,,No,No,,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,, ,No
freq,1,3555,,3641,4933,,6361,3390,3096,3498,3088,3095,3473,2810,2785,3875,4171,2365,,11,5174
mean,,,0.1621468124378816,,,32.37114865824223,,,,,,,,,,,,,64.76169246059918,,
std,,,0.3686116056100131,,,24.55948102309446,,,,,,,,,,,,,30.090047097678493,,
min,,,0.0,,,0.0,,,,,,,,,,,,,18.25,,
25%,,,0.0,,,9.0,,,,,,,,,,,,,35.5,,
50%,,,0.0,,,29.0,,,,,,,,,,,,,70.35,,
75%,,,0.0,,,55.0,,,,,,,,,,,,,89.85,,
max,,,1.0,,,72.0,,,,,,,,,,,,,118.75,,
